otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
P29564,49881,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Rapp Py-Daniel, L. et al.",0.38955,-66.64826,Brazil,Amazonas,Negro,2015-03-01,"Rio Lá, afuente do rio Cauaburi. Comunidade do Balaio. Peixes comprados na feira de SGC.",Valeria Machado,MG752293
P31535,52894,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Birindelli, J. et al.",-2.71736,-60.74487,Brazil,Amazonas,Negro,2016-05-03,"rio Negro no Lago do Prato, Parque Nacional de Anavilhanas",Valeria Machado,MG752294
P31536,52894,INPA,ICT,PreservedSpecimen,Other material,"Myloplus lucienae Andrade, Ota, Bastos & Jégu 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lucienae,species,NA,"Birindelli, J. et al.",-2.71736,-60.74487,Brazil,Amazonas,Negro,2016-05-03,"rio Negro no Lago do Prato, Parque Nacional de Anavilhanas",Valeria Machado,MG752295
5765,57801,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.01905,-49.73781,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,MG752188
5766,57801,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.01905,-49.73781,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,MG752189
12201,46279,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752197
12202,46279,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752198
12204,46279,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752199
12205,46279,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752200
12278,52505,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752202
